Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
08GA022,1,1,2002,29,58.5,,,,52.5,,130,,734,,845,,482,A,420,,160,,39.1,,126,,67.3,
08GA022,1,1,2002,30,52.5,,,,45.7,,196,,556,,617,,436,,407,,163,,40.3,,136,,67.8,
08GA022,1,1,2002,31,60.3,,,,53.3,,,,403,,,,373,,373,,,,36.2,,,,72.3,
08GA022,1,1,2003,01,62.1,,182,,36.0,,202,,201,,390,,661,,551,,256,,203,,112,,56.2,
08GA022,1,1,2003,02,134,,131,,38.1,,143,,262,,430,,448,,479,,276,,193,,102,,64.6,
08GA022,1,1,2003,03,227,,110,,43.5,,134,,216,,390,,374,,412,,309,,176,,99.0,,102,
08GA022,1,1,2003,04,228,,94.2,,73.3,,108,,165,,422,,382,,392,,333,,169,,82.2,,89.7,
08GA022,1,1,2003,05,233,,89.8,,76.6,,84.0,,152,,544,,395,,375,,353,,165,,66.1,,100,
08GA022,1,1,2003,06,155,,81.3,,58.3,,69.6,,127,,735,,436,,377,,336,,249,,61.6,,154,
08GA022,1,1,2003,07,116,,88.5,,32.4,,72.7,,128,,768,,462,,312,,444,,579,,58.7,,127,
08GA022,1,1,2003,08,108,,75.1,,29.7,,194,,112,,765,,455,,322,,322,,423,,56.9,A,82.9,
08GA022,1,1,2003,09,107,,55.1,,30.0,,325,,103,,730,,461,A,350,,220,,388,,56.0,E,73.0,
08GA022,1,1,2003,10,97.9,,68.9,,31.4,,167,,116,,669,,465,A,325,,195,,230,,60.0,E,67.1,
08GA022,1,1,2003,11,94.7,,68.7,,44.3,,134,,165,,571,,537,,314,,277,,174,,50.0,E,65.3,
08GA022,1,1,2003,12,84.1,,58.8,,106,,114,,248,,527,,579,,262,,229,,328,,56.0,E,57.3,
08GA022,1,1,2003,13,84.6,,69.3,,534,,111,,262,,657,,631,,271,,169,,291,,58.0,E,62.1,
08GA022,1,1,2003,14,78.4,,55.8,,587,,140,,236,,545,,654,,269,,220,,176,,59.0,E,62.4,
08GA022,1,1,2003,15,68.2,,48.0,,335,,138,,213,,398,,589,,315,,196,,169,,65.0,E,72.6,
08GA022,1,1,2003,16,60.3,,66.2,,236,,129,,144,,389,,470,,350,,186,,278,,85.0,E,90.6,
08GA022,1,1,2003,17,66.6,,84.2,,169,,124,,111,,414,,410,A,356,,143,,1600,,120,E,83.6,
08GA022,1,1,2003,18,54.3,,73.0,,134,,111,,97.8,,513,,380,E,367,,171,,2630,,140,E,65.3,
08GA022,1,1,2003,19,50.3,,74.0,,107,,101,,94.2,,476,,388,,363,,231,,2530,,120,E,63.3,
08GA022,1,1,2003,20,47.2,,78.8,,118,,100,,116,,407,,461,,317,,158,,1110,,100,E,62.1,
08GA022,1,1,2003,21,44.9,,80.5,,131,,116,,130,,374,,499,,325,,111,,980,,81.8,A,77.9,
08GA022,1,1,2003,22,53.4,,56.7,,175,,144,,197,,336,,456,,333,,131,,629,,70.0,E,67.9,
08GA022,1,1,2003,23,121,,50.2,,150,,161,,321,,326,,449,,288,,176,,859,,62.0,E,67.0,
08GA022,1,1,2003,24,129,,56.7,,106,,147,,631,,340,,465,,218,,152,,414,,57.0,E,91.4,
08GA022,1,1,2003,25,111,,60.7,,76.5,,147,,872,,386,,422,,243,,167,,284,,53.0,E,109,
08GA022,1,1,2003,26,565,,60.2,,81.1,,131,,547,,488,,373,,316,,167,,258,,49.5,A,85.4,
08GA022,1,1,2003,27,443,,42.3,,69.1,,120,,418,,546,,417,,318,,217,,221,,59.1,,72.2,
08GA022,1,1,2003,28,240,,41.2,,70.9,,124,,437,,557,,447,,272,,267,,279,,81.7,,63.5,
08GA022,1,1,2003,29,181,,,,60.1,,138,,520,,565,,506,,256,,246,,244,,90.6,,56.6,
08GA022,1,1,2003,30,179,,,,152,,165,,438,,909,,543,,284,,207,,169,A,66.1,,48.0,
08GA022,1,1,2003,31,182,,,,312,,,,409,,,,560,,261,,,,123,,,,51.0,
08GA022,1,1,2004,01,42.9,,63.6,,44.9,,142,,347,,226,,425,,412,,527,,132,,108,,98.0,
08GA022,1,1,2004,02,47.1,,71.0,,43.1,,118,,469,,215,,439,,406,,340,,126,,114,,95.5,
08GA022,1,1,2004,03,37.3,,48.8,,53.9,,107,,402,,231,,398,,418,,256,,141,,104,,98.0,
08GA022,1,1,2004,04,47.5,,48.4,,58.4,,123,,366,,334,,372,,410,,249,,142,,97.3,,97.0,
08GA022,1,1,2004,05,41.2,,45.0,,55.9,,143,,313,,436,,380,,387,,244,,151,,83.8,,82.8,
08GA022,1,1,2004,06,44.8,,57.8,,47.0,,153,,241,,396,,539,,328,,197,,400,,138,,83.3,
08GA022,1,1,2004,07,49.2,,77.7,,53.9,,157,,230,,329,,531,,256,,182,,228,,349,,75.6,
08GA022,1,1,2004,08,47.1,,63.2,,86.7,,177,,224,,357,,356,,235,,256,,559,,498,,79.5,
08GA022,1,1,2004,09,70.4,,63.7,,139,,169,,251,,437,,290,,317,,504,,525,,534,,74.4,
08GA022,1,1,2004,10,135,,53.3,,171,,178,,241,,451,,275,,376,,374,,326,,328,,200,
08GA022,1,1,2004,11,115,,53.8,,115,,215,,248,,404,,244,,386,,735,,292,,221,,531,
08GA022,1,1,2004,12,105,,54.9,,107,,271,,233,,356,,276,,380,,465,,256,,174,,202,
08GA022,1,1,2004,13,146,,58.5,,104,,271,,227,,355,,325,,398,,282,,229,,156,,163,
08GA022,1,1,2004,14,345,,45.9,,90.8,,240,,234,,319,,413,,443,,255,,224,,162,,207,
08GA022,1,1,2004,15,497,,53.7,,95.0,,197,,267,,261,,412,,492,,231,,212,,594,,196,
08GA022,1,1,2004,16,317,,49.5,,82.0,,175,,272,,255,,425,,508,,267,,197,,350,,164,
08GA022,1,1,2004,17,199,,75.1,,94.6,,161,,299,,334,,403,,487,,396,,155,,253,,137,
08GA022,1,1,2004,18,164,,68.9,,123,,147,,362,,397,,425,,455,,256,,156,,222,,127,
08GA022,1,1,2004,19,160,,64.8,,123,,127,,412,,397,,494,,467,,203,,119,,197,,300,
08GA022,1,1,2004,20,132,,81.0,,93.9,,137,,424,,418,,527,,456,,170,,101,,122,,249,
08GA022,1,1,2004,21,113,,58.8,,69.2,,125,,463,,490,,405,,445,,115,,87.6,,99.9,,153,
08GA022,1,1,2004,22,103,,50.9,,89.3,,128,,473,,527,,379,,588,,141,,87.6,,120,,122,
08GA022,1,1,2004,23,103,,45.1,,112,,144,,337,,551,,432,,497,,160,,92.4,,121,,105,
08GA022,1,1,2004,24,87.1,,58.9,,138,,161,,301,,597,,445,,468,,155,,79.5,,215,,96.7,
08GA022,1,1,2004,25,76.3,,58.7,,151,,142,,327,,624,,481,,488,,132,,97.0,,306,,92.0,
08GA022,1,1,2004,26,79.1,,53.3,,148,,178,,402,,577,,420,,379,,143,,123,,155,,106,
08GA022,1,1,2004,27,80.4,,48.0,,137,,282,,454,,495,,374,,345,,167,,95.8,,111,,86.0,
08GA022,1,1,2004,28,76.7,,45.7,,110,,271,,391,,426,,368,,428,,172,,114,,90.2,,79.4,
08GA022,1,1,2004,29,60.6,,45.4,,92.4,,218,,301,,402,,380,,544,,174,,95.2,,83.9,,91.6,
08GA022,1,1,2004,30,84.0,,,,181,,254,,272,,407,,421,,521,,157,,140,,94.9,,83.1,
08GA022,1,1,2004,31,68.3,,,,210,,,,263,,,,407,,420,,,,116,,,,64.0,
08GA022,1,1,2005,01,58.5,,214,,49.9,,151,,167,,469,,480,,590,,290,,219,,235,,72.7,
08GA022,1,1,2005,02,56.3,,172,,72.7,,134,,187,,398,,444,,416,,303,,154,,162,,68.7,
08GA022,1,1,2005,03,78.1,,182,,57.2,,106,,229,,386,,368,,311,,264,,135,,145,,75.6,
08GA022,1,1,2005,04,77.4,,196,,59.1,,100,,237,,372,,380,,312,,247,,111,,177,,75.1,
08GA022,1,1,2005,05,73.1,,164,,60.6,,110,,248,,308,,527,,347,,182,,92.5,,138,,68.7,
08GA022,1,1,2005,06,79.3,,139,,58.3,,148,,297,,285,,932,,390,,160,,149,,117,,58.3,
08GA022,1,1,2005,07,61.6,,121,,98.9,,148,,277,,246,,608,,378,,173,,254,,136,,54.3,
08GA022,1,1,2005,08,37.5,,106,,123,,154,,214,,236,,769,,355,,209,,140,,129,,52.5,
08GA022,1,1,2005,09,32.7,,102,,248,,126,,274,,250,,653,,374,,227,,101,,143,,48.5,
08GA022,1,1,2005,10,36.8,,86.9,,199,,91.9,,384,,283,,430,,386,,176,,229,,367,,47.3,
08GA022,1,1,2005,11,43.8,,92.4,,174,,95.2,,441,,264,,381,,385,,131,,278,,403,,39.7,
08GA022,1,1,2005,12,43.5,,90.9,,175,,104,,381,,267,,515,,370,,149,,179,,195,,47.4,
08GA022,1,1,2005,13,49.3,,86.9,,127,,82.6,,381,,280,,478,,382,,167,,277,,151,,48.5,
08GA022,1,1,2005,14,62.0,,74.0,,120,,79.9,,436,,283,,435,,347,,178,,297,,150,,39.0,
08GA022,1,1,2005,15,46.4,,66.1,,110,,77.9,,670,,245,,459,,397,,195,,867,,137,,34.7,
08GA022,1,1,2005,16,36.7,,64.4,,105,,118,,565,,230,,462,,413,,174,,511,,104,,37.6,
08GA022,1,1,2005,17,82.9,,63.0,,101,,132,,392,,267,,454,,415,,160,,872,,108,,35.0,
08GA022,1,1,2005,18,265,,62.1,,94.1,,110,,334,,418,,475,,348,,136,,414,,105,,30.7,
